input, output
0000,44
0001,45
0002,64
0010,46
0011,50
0012,54
0020,25
0021,61
0022,46
0100,2
0101,25
0102,37
0110,63
0111,24
0112,31
0120,50
0121,1
0122,66
0200,15
0201,47
0202,29
0210,21
0211,34
0212,47
0220,2
0221,27
0222,52
1000,47
1001,65
1002,47
1010,56
1011,42
1012,42
1020,53
1021,38
1022,25
1100,58
1101,63
1102,19
1110,37
1111,16
1112,44
1120,24
1121,29
1122,18
1200,5
1201,12
1202,19
1210,5
1211,27
1212,66
1220,51
1221,66
1222,50
2000,31
2001,1
2002,28
2010,33
2011,65
2012,26
2020,30
2021,54
2022,19
2100,6
2101,58
2102,7
2110,48
2111,49
2112,4
2120,1
2121,36
2122,37
2200,62
2201,60
2202,66
2210,31
2211,65
2212,28
2220,50
2221,20
2222,56
