input,output_2,output_3
0000,0,1
0001,0,0
0002,0,0
0010,0,1
0011,1,0
0012,1,1
0020,1,0
0021,0,1
0022,0,1
0100,1,0
0101,0,1
0102,1,0
0110,1,0
0111,1,0
0112,1,1
0120,0,0
0121,0,0
0122,1,1
0200,1,0
0201,1,1
0202,1,1
0210,1,0
0211,1,1
0212,1,0
0220,1,1
0221,0,0
0222,0,0
1000,1,0
1001,1,0
1002,0,0
1010,0,0
1011,0,0
1012,0,1
1020,1,1
1021,1,0
1022,0,1
1100,1,0
1101,0,0
1102,0,0
1110,1,0
1111,0,1
1112,0,0
1120,1,0
1121,0,1
1122,0,0
1200,1,1
1201,0,0
1202,1,0
1210,1,1
1211,0,1
1212,0,1
1220,0,0
1221,0,1
1222,0,0
2000,1,0
2001,1,1
2002,1,0
2010,1,0
2011,1,1
2012,1,1
2020,0,0
2021,0,1
2022,0,1
2100,1,1
2101,0,0
2102,0,0
2110,1,0
2111,0,1
2112,0,1
2120,0,1
2121,1,0
2122,0,1
2200,0,0
2201,0,0
2202,0,0
2210,1,1
2211,0,1
2212,1,1
2220,0,1
2221,1,0
2222,1,1
